Avg PM2.5,Avg AQI Value,Avg Max Temp,Avg Dew Temp,Avg Wind Speed,Avg Humidity
28.01428571,84.71428571,77.42857143,57.85714286,8.428571429,68.5
19.61428571,66.85714286,76.71428571,55.71428571,9,65.78571429
20.15714286,67.85714286,77.71428571,54.85714286,9.142857143,63.85714286
20.45714286,68.71428571,77.14285714,57.42857143,8.428571429,66.64285714
19.52857143,66.28571429,75.14285714,56.42857143,8.857142857,66.64285714
20.72857143,69.14285714,79.85714286,57.14285714,8.714285714,63.35714286
20.92857143,69.57142857,86.85714286,59.57142857,8.142857143,57.78571429
21.27142857,70.28571429,78.57142857,57.28571429,8.571428571,66.14285714
23.71428571,75.42857143,79.71428571,56.14285714,9,62.57142857
17.41428571,62.28571429,79.57142857,56,8.571428571,64.21428571
16.67142857,60.28571429,91.42857143,55,7.142857143,48.42857143
17.34285714,61.85714286,84.42857143,55,5.857142857,54.5
22.07142857,72.14285714,82.85714286,56.71428571,7.857142857,61.21428571
15.77142857,57.71428571,77.71428571,54.71428571,7.714285714,61.42857143
24.02857143,76.28571429,78.71428571,55.85714286,8.142857143,65.78571429
17.1,61.57142857,95.28571429,53.42857143,7.428571429,45.07142857
17.61428571,61.14285714,83.57142857,58.57142857,8,60.78571429
19.65714286,66.57142857,82.42857143,55,8.142857143,56.21428571
27.1,83.57142857,73.57142857,59.14285714,7.142857143,71.57142857
10.25714286,42.57142857,70.71428571,55.14285714,8.857142857,69
10.48571429,42.71428571,79.28571429,43.57142857,8,53.07142857
9.828571429,40.42857143,80,46,9.428571429,49
14.94285714,55.14285714,74.42857143,38,8,47.07142857
20.75714286,67.14285714,64.14285714,47.85714286,8.714285714,70.28571429
11.27142857,45,63,30,8.428571429,46.92857143
22.71428571,72.28571429,70.71428571,39.71428571,7.142857143,53
21.57142857,69,74,47.57142857,6.571428571,63.85714286
10.01428571,39,60.57142857,53.14285714,9.571428571,86.57142857
14.54285714,52.71428571,63,48.85714286,7.428571429,76.64285714
9.728571429,39.28571429,57.57142857,34.28571429,10.42857143,54.5
14.05714286,50.14285714,63.85714286,39,6.428571429,56.5
16.07142857,55.28571429,77.85714286,42.28571429,6.428571429,49.5
12.61428571,48.28571429,65.85714286,40.42857143,7.428571429,60.64285714
14.01428571,49.85714286,73.14285714,36.71428571,6.571428571,49.5
9.671428571,37,63.14285714,45.28571429,5.857142857,66.42857143
7.728571429,32.14285714,59,39,6.571428571,64.71428571
11.58571429,46.57142857,68.28571429,44.42857143,7.428571429,62.92857143
10.5,41.57142857,72.42857143,44.57142857,10.42857143,59.71428571
10.94285714,44.57142857,68.42857143,47.42857143,9,64.21428571
8.071428571,33.14285714,66.57142857,48.71428571,8.285714286,69.35714286
10.91428571,44.85714286,77,52.14285714,8.857142857,64.35714286
8.485714286,35.42857143,66,41.14285714,10.71428571,55.21428571
10.82857143,43.71428571,75.28571429,49.85714286,9.714285714,59.85714286
8.828571429,36.71428571,73.71428571,49.14285714,10.57142857,60
10.02857143,38.71428571,84.57142857,37.57142857,9.714285714,39.28571429
13.1,48.57142857,71.28571429,50.57142857,10.28571429,65.28571429
7.971428571,32.85714286,67.85714286,49,10.71428571,65.07142857
11.27142857,46,71.71428571,51,10,66.5
8.7,36.14285714,73.28571429,50.42857143,11.28571429,61.21428571
13.18571429,50.14285714,72.42857143,55.14285714,8.142857143,72.35714286
11.51428571,46.14285714,75.42857143,56.42857143,8.142857143,70.85714286
12.74285714,49.71428571,78.57142857,57.42857143,8.857142857,68
17.34285714,61.28571429,84.57142857,60.14285714,8.428571429,66.28571429
9.942857143,41.28571429,77,57.42857143,8.857142857,68.92857143
12.68571429,49.85714286,80.14285714,57.85714286,9,68.35714286
9.4,39.14285714,79.14285714,58.71428571,8.857142857,67.21428571
11.07142857,45.28571429,82.85714286,57.14285714,8,64.57142857
14.54285714,55.57142857,78.28571429,58.14285714,8.428571429,69.57142857
15.04285714,56.85714286,79.85714286,60,7.571428571,72.07142857
11.02857143,46,85.42857143,59.14285714,8.571428571,63
13.4,53.42857143,79.71428571,57.57142857,7.428571429,68.28571429
13.62857143,52.42857143,83.85714286,57.85714286,7.571428571,61.07142857
12.9,51.14285714,76.14285714,58.42857143,7.571428571,73.57142857
21.41428571,70.57142857,77.28571429,58.57142857,8.285714286,73.57142857
15.25714286,53.42857143,77.71428571,56.71428571,9.428571429,66.35714286
10.34285714,41.28571429,77.14285714,50,8,59.71428571
19.25714286,65.85714286,80.14285714,55.57142857,7.428571429,67.14285714
20.78571429,68.71428571,73.28571429,48,7.571428571,63.14285714
13.42857143,48.42857143,71.28571429,42.42857143,9.571428571,58.35714286
9.685714286,40,69.14285714,41.14285714,9.428571429,54.71428571
18.54285714,61.42857143,64,49.57142857,7.714285714,74.5
12.72857143,50.28571429,74.14285714,41.28571429,6.571428571,51.64285714
12.95714286,50.14285714,65,28.57142857,11.57142857,40.78571429
15.31428571,56.85714286,62.85714286,41.57142857,7.571428571,64.21428571
16.05714286,59.28571429,65.85714286,33.14285714,7.571428571,52.64285714
17.08571429,61.42857143,68.42857143,29.85714286,7.428571429,46.21428571
23.71428571,74.85714286,75.71428571,40.85714286,6,56.5
14.77142857,53.28571429,74,37,6.714285714,50.64285714
14.3,54.28571429,66.85714286,33.71428571,6.428571429,51.78571429
12.22857143,47.57142857,64.57142857,44.85714286,8.571428571,66.57142857
13.28571429,50,73.14285714,37.85714286,7.714285714,51
10.45714286,39.71428571,70.57142857,35.71428571,7.285714286,48.42857143
7.514285714,31.28571429,64.71428571,44.28571429,9.714285714,64
9.985714286,40.57142857,68.57142857,40.57142857,8.428571429,60.5
