Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
7.2,58,45,17,71.5
6.8,59,43,8,66.5
8.4,65,42,7,60
7.2,75,30,8,39
7.1,75,34,8,44
17.5,72,40,7,50.5
23,73,45,3,48
22.7,73,50,7,60.5
17.3,71,49,8,67
12.6,64,47,8,71
17,66,47,7,67
22.2,69,49,9,67
14.7,84,40,7,47
8.8,84,39,10,36
12.7,71,44,7,52.5
8,68,48,10,63.5
9.7,61,48,9,74.5
8,63,41,9,63.5
11.3,63,41,13,61
12,66,42,9,55.5
17,64,45,8,64
10.9,63,45,8,64.5
11.5,66,40,12,57
13.5,62,43,8,65.5
11.5,65,42,9,55
20.9,67,45,8,65.5
29.6,66,47,8,62.5
14.2,64,45,9,62.5
21.3,70,45,8,61.5
22.5,77,48,9,58
27.1,84,50,7,53
58.7,74,52,7,69.5
53.7,67,50,9,69.5
17.5,63,47,8,69
5.2,63,44,16,58
9.1,69,27,13,29.5
7.6,76,29,9,32.5
15.1,78,34,10,44
21.7,70,50,9,69
20.1,76,46,10,55.5
15.8,81,38,9,41.5
20.6,66,49,7,71
13.9,70,45,9,54
19.3,74,45,9,52.5
22.3,70,48,10,63.5
23.2,64,49,8,68.5
15,66,47,9,60
14.1,69,40,10,50.5
10.6,81,24,12,26
8.3,83,32,9,45
13.5,68,50,10,62.5
5.3,65,46,17,65
9.2,69,46,12,58.5
13.3,65,45,10,60.5
10.2,67,45,9,62.5
13.8,69,47,9,61
19.1,76,50,8,62
17.7,68,46,13,53
6.5,60,33,15,44
12.5,66,39,8,48.5
15,76,42,10,51
18.8,81,42,9,52
10.1,94,39,10,35
9.6,100,34,10,23.5
14.3,95,41,9,38.5
23.8,75,53,10,65
16.1,69,51,6,64.5
14.6,66,49,8,68
10.1,69,44,10,49.5
15.1,69,46,10,56
17.6,67,47,9,62.5
15.6,65,44,9,60
19.7,67,45,10,60.5
20.7,70,46,9,60.5
22,75,49,10,55
9.3,69,53,9,69.5
16.1,72,53,10,69.5
12.3,75,53,9,65.5
12.7,78,53,8,62
14.8,90,52,13,49.5
18.5,89,54,9,53.5
21.1,81,55,7,61.5
27.8,76,55,9,67
28.8,74,54,9,68.5
36.4,74,54,10,69.5
25.4,72,54,9,67.5
27.5,74,54,9,66.5
26.2,77,57,9,72
32.5,77,57,8,69
36,78,58,9,68
37.2,79,59,8,75.5
25.2,77,58,10,73.5
18.2,75,56,9,67
19.1,80,56,9,65
22.3,78,56,8,65
24.4,74,55,10,68.5
22.2,74,53,10,63.5
18,72,52,10,63.5
16.5,70,52,9,66.5
21.9,73,53,8,64.5
27.5,75,55,10,65.5
26.6,73,56,8,67.5
20,67,56,7,76
12.2,68,55,8,76
21.8,70,56,9,73.5
19.3,70,56,8,75
22,76,56,9,68.5
25.1,70,56,9,76
14.1,74,54,10,66
4.8,71,55,10,70.5
7.2,73,54,10,68.5
5.2,73,54,9,63.5
13.4,72,54,9,70.5
11.6,71,54,8,68
11.9,71,55,7,70.5
11.3,70,55,7,69.5
11.5,70,56,6,69.5
11.8,72,55,10,68.5
9.2,74,55,8,70
7,75,56,10,68.5
9,76,57,10,68.5
16.2,76,57,8,69
22,77,58,8,70
25.6,78,59,8,73
11,73,58,8,74
10.4,75,54,10,65.5
17.9,77,55,10,66.5
19.6,77,56,9,67
21.3,77,56,10,64
21.4,74,57,10,70.5
27.4,77,57,9,68.5
27.5,81,58,7,66
22.4,81,58,9,69.5
23.6,79,58,10,71
21.6,76,58,9,70.5
18.2,76,57,9,70
17.2,78,58,9,72
20,78,58,10,73.5
24.1,80,56,10,67.5
17,76,56,8,69.5
18.1,79,57,8,65.5
19.9,79,59,9,72
21.2,81,58,9,66.5
24.2,82,58,9,67.5
25,86,57,9,63
15.3,86,55,9,53
19.8,89,58,9,56
18.3,90,58,8,56.5
21.5,82,60,8,70.5
18.2,84,58,9,61.5
14.7,84,59,9,63.5
15.9,87,59,8,63.5
18.3,92,62,7,57.5
24.7,90,63,8,65
23.3,89,61,8,55.5
23.8,88,62,7,60
22.5,85,63,8,66
22,85,61,9,66
19,83,62,9,69.5
18.7,86,62,9,64.5
15,83,62,8,66
17.8,84,61,8,69
18.7,84,61,8,67
13.8,84,61,9,64
19.3,83,62,9,66
21.2,83,62,10,70.5
20.2,82,61,9,73.5
11.2,87,59,8,63
10.2,91,55,12,52.5
16.1,90,55,10,51
8,78,57,12,60
8,79,57,12,63
15.9,80,57,8,59
22.4,78,59,9,69
28,80,59,9,72
25.1,77,59,9,75
33.1,80,59,8,72
35,78,60,7,73
24.1,79,60,9,70.5
22.2,78,59,9,67.5
32,80,58,8,73
36.5,77,58,9,73
35.8,76,58,8,73.5
38.9,76,58,8,71
24.7,76,58,9,73.5
25.8,80,59,7,71
23.4,85,63,8,66
21.5,82,63,9,70.5
21,83,60,10,66
15.1,89,54,10,55
32.2,94,47,10,46.5
24,101,46,10,37.5
22.4,98,58,7,45.5
24.5,100,57,9,48
41.3,98,57,9,51.5
31.7,92,57,9,52
20.9,93,63,6,55.5
27.7,96,63,9,55
23.1,96,62,9,55.5
22,96,63,9,55
18,89,60,8,59.5
18.4,87,60,8,59
18.3,86,62,8,60.5
17,83,61,8,60.5
23.1,84,62,8,67
21.2,89,61,10,63.5
17.2,86,62,8,64
20.1,80,62,8,72.5
13.7,78,59,12,65.5
9.6,76,59,9,69
10.5,81,59,10,66
18.8,81,61,8,70.5
18.5,86,62,9,64
28.3,88,64,7,65
30.9,86,63,9,66
29.7,85,62,7,67.5
25.6,82,61,8,69
20.8,87,62,7,67.5
12.2,100,52,10,50
18.1,100,50,8,39.5
22.6,95,58,8,50
26.3,90,62,7,65.5
32.4,81,62,7,73.5
41.6,78,60,7,71.5
27,75,57,10,68.5
14.8,78,49,8,55.5
11,93,34,9,35
13.5,88,45,9,46
14,79,55,9,60
12.1,70,48,12,55.5
13,72,47,10,51.5
16.1,72,49,9,62
13.3,71,52,9,65.5
22,74,53,8,66
26.3,73,55,8,70.5
23.2,73,54,9,70.5
13.4,70,50,9,58
11.7,68,51,8,64.5
7.1,70,59,12,78
7.1,69,63,9,90
27.3,81,62,6,75.5
17.4,98,58,0,57.5
18.7,92,59,7,53.5
33.1,78,62,6,73.5
14.7,74,57,9,67.5
11.1,75,53,8,62.5
11.7,79,51,7,56
18.1,83,54,7,55
24.2,85,56,8,61.5
32.6,81,59,7,69.5
45.2,82,59,6,63
13,91,40,8,45.5
15,77,41,18,49
8.8,70,20,12,19
11,71,28,12,32
