Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
1,75,53,10,65
1,88,62,7,60
1,74,53,9,69.5
1,71,54,9,66.5
1,69,48,8,66
1,73,56,10,71.5
1,73,54,8,71
1,78,55,10,67
1,80,56,6,64.5
1,64,47,9,72.5
1,69,50,8,70.5
1,85,66,8,71
1,98,62,9,53
1,69,40,7,58
1,79,58,10,71
1,76,56,8,70.5
1,90,37,7,32.5
1,87,59,10,68.5
1,78,55,7,74
1,82,60,9,69
1,85,63,8,66
1,83,56,7,64.5
1,64,52,5,74.5
1,76,58,7,69
1,78,57,9,66
1,75,55,9,71.5
1,85,64,7,63.5
1,68,55,8,84
1,89,61,8,55.5
1,67,41,6,60.5
1,71,54,7,78.5
1,83,62,9,69
1,74,35,6,54
1,79,62,9,72.5
1,59,29,7,52.5
1,76,32,7,37
1,64,49,8,68.5
1,73,54,9,70.5
1,84,57,9,60
1,71,50,9,64
1,87,61,7,65.5
1,74,56,9,70.5
1,80,62,9,70.5
1,77,62,10,80.5
1,82,61,10,67
1,78,58,8,72
1,77,41,7,50
1,82,58,6,65.5
1,96,62,9,55.5
1,84,62,8,67
1,69,38,8,55.5
1,70,50,8,69.5
1,84,59,8,67.5
1,78,60,9,67
1,73,45,3,48
1,79,56,9,62.5
1,77,42,8,50.5
1,76,57,8,69
1,76,64,6,77
1,71,52,8,71
1,83,62,8,70.5
1,92,60,8,56
1,80,60,9,69
1,80,60,8,66
1,63,47,7,70.5
1,71,50,7,63
1,87,55,8,52
1,80,56,9,63.5
1,76,58,6,73
1,72,49,8,62
1,75,53,9,60.5
1,78,56,8,65
1,78,57,8,63
1,73,51,8,68
1,69,38,6,54.5
1,72,50,10,63.5
1,94,62,9,58
1,79,58,8,70
1,76,48,6,58.5
1,82,61,8,70.5
1,73,50,7,60.5
1,69,46,6,62
1,78,51,6,66.5
1,71,52,9,72
1,88,61,8,53.5
1,85,63,7,69
1,73,55,9,73
1,95,58,8,50
1,68,41,7,54.5
1,68,39,6,56.5
1,76,55,9,65
1,82,62,9,66
1,70,53,9,73
1,77,48,9,58
1,85,63,8,66
1,76,38,6,44
1,77,59,8,66
1,73,39,7,50
1,63,52,8,70
1,93,55,9,50.5
1,74,53,9,64.5
1,76,56,9,65.5
1,90,61,9,60.5
1,81,58,9,69.5
1,78,59,9,69
1,98,58,7,45.5
1,87,61,7,58
1,93,56,8,49
1,80,57,9,60.5
1,72,53,9,73
1,75,56,9,65.5
1,86,63,8,63
1,59,42,6,69
1,70,48,10,63.5
1,78,56,8,65
1,92,64,8,64
1,80,59,9,71
1,61,45,7,72
1,61,45,7,72
1,86,60,8,63.5
1,67,40,8,50
1,69,49,9,67
1,74,53,10,63.5
1,78,59,9,67.5
1,69,53,8,75.5
1,89,63,9,65
1,103,60,9,43.5
1,79,59,9,69
1,76,53,10,63.5
1,72,51,10,60.5
1,72,53,10,66.5
1,73,54,5,67.5
1,89,51,7,55.5
1,75,49,10,55
1,76,56,9,68.5
1,77,58,8,70
1,85,61,9,66
1,96,63,9,55
1,74,53,8,66
1,79,58,10,71
1,77,57,8,64
1,79,59,8,66
1,70,40,5,50
1,84,47,9,47
1,79,55,9,66.5
1,75,61,5,72.5
1,88,61,7,55
1,82,61,9,67
1,85,33,8,38.5
1,73,53,8,64.5
1,79,53,7,61.5
1,73,55,9,70.5
1,77,57,8,70.5
1,80,57,7,67.5
1,69,55,7,69.5
1,78,60,8,76.5
1,67,45,9,58
1,89,46,6,48
1,70,56,9,73.5
1,68,45,8,63
1,94,55,8,42.5
1,74,33,6,45.5
1,76,49,7,63.5
1,69,44,17,55
1,75,45,7,57.5
1,70,50,9,69
1,79,58,9,65
1,80,56,8,68
1,61,51,7,82.5
1,62,47,8,73
1,68,50,8,69
1,71,57,8,72.5
1,83,62,7,62
1,74,57,8,68.5
1,78,59,8,70
1,89,60,10,63.5
1,71,51,8,63
1,77,33,6,54
1,69,51,13,64.5
1,84,63,9,65.5
1,77,57,9,75
1,88,64,8,66.5
1,82,61,8,71
1,78,60,9,67.5
1,79,57,9,64
1,76,58,9,70.5
1,80,44,8,48.5
1,78,55,9,62.5
1,74,58,8,73.5
1,84,45,8,50
1,74,57,8,75
1,87,59,8,62
1,79,52,8,54.5
1,74,54,8,73
1,82,60,8,70.5
1,82,63,9,70.5
1,59,43,7,71.5
1,71,48,8,63
1,71,53,8,69
1,84,60,9,61.5
1,80,61,9,70.5
1,56,40,14,66
1,84,54,8,67
1,96,64,7,59
1,77,57,8,67
1,74,57,10,70.5
1,79,49,9,55.5
1,86,57,5,62.5
1,90,60,8,58
1,87,62,9,66.5
1,74,58,9,79
1,81,56,9,64
1,70,45,8,61.5
1,77,56,10,64
1,70,45,7,59.5
1,67,48,9,69
1,95,59,9,50.5
1,68,52,9,77.5
1,72,52,9,67
1,77,48,8,55.5
1,90,62,9,60.5
1,81,58,9,66.5
1,83,62,10,70.5
1,89,61,10,63.5
1,56,47,8,77.5
1,78,55,9,62.5
1,72,57,9,75
1,77,57,8,70
1,79,57,9,64.5
1,77,56,8,70
1,73,53,10,71
1,80,63,8,71.5
1,83,61,9,67.5
1,81,55,7,61.5
1,75,46,8,58.5
1,83,56,9,62
1,90,56,9,53.5
1,84,62,9,64.5
1,87,59,7,62
1,83,60,10,66
1,76,50,9,60.5
1,90,59,7,54.5
1,77,57,9,67
1,93,61,9,53.5
1,84,60,8,67.5
1,67,49,9,68
1,77,54,8,62.5
1,85,61,10,66
1,83,62,8,69
1,83,62,10,67.5
1,84,61,8,67.5
1,83,47,4,58
1,83,47,4,58
1,67,45,8,65.5
1,93,63,6,55.5
1,73,41,6,51.5
1,63,40,7,64.5
1,75,23,6,28.5
1,74,35,8,46
1,83,35,8,38.5
1,87,62,7,67.5
1,86,61,9,60
1,80,58,8,71
1,81,38,6,44.5
1,75,59,8,73.5
1,84,48,8,51
1,70,46,9,60.5
1,80,58,8,69
1,84,55,9,60
1,81,58,8,63
1,63,52,8,80
1,89,47,9,42.5
1,82,63,12,68
1,87,65,9,66
1,79,56,7,67
1,70,50,10,68
1,66,49,7,71
1,75,56,9,70.5
1,81,55,8,69
1,87,61,9,66.5
1,79,53,6,60
1,74,54,8,74.5
1,70,54,8,77.5
1,78,50,8,58
1,76,51,8,58
1,75,53,10,63.5
1,78,54,9,60.5
1,68,52,9,68
1,77,58,10,72
1,96,60,9,45
1,73,57,8,71.5
1,74,50,8,62
1,84,53,8,60
1,65,47,8,66
1,75,57,8,68.5
1,89,55,12,56.5
1,81,63,8,67.5
1,74,58,7,69.5
1,68,48,7,70.5
1,81,57,7,69.5
1,81,54,8,63
1,79,57,9,65
1,83,59,9,69
1,79,58,8,68.5
1,63,39,8,62
1,79,58,9,65
1,82,61,9,73.5
1,61,45,36,62
1,84,60,8,68.5
1,79,56,7,70.5
1,81,59,9,67.5
1,72,55,8,75
1,74,56,9,70.5
1,89,59,9,56
1,87,59,9,57
1,72,53,8,70
1,82,60,8,66
1,83,62,8,67
1,76,46,10,55.5
1,80,62,8,72.5
1,77,53,7,64
1,76,59,9,71
1,60,46,5,71
1,64,44,9,62.5
1,80,60,7,70.5
1,75,55,10,69.5
1,67,50,8,69
1,79,60,8,72
1,66,47,8,70.5
1,70,51,9,69.5
1,78,48,9,54.5
1,66,28,6,47.5
1,75,29,6,41.5
1,67,56,7,76
1,78,58,10,73.5
1,94,61,8,54
1,72,58,9,78
1,81,61,9,69.5
1,69,55,7,74
1,73,51,6,68.5
1,79,59,9,72
1,66,50,10,66.5
1,71,21,7,34
1,71,21,7,34
1,77,56,8,67
1,74,57,8,70.5
1,69,51,10,70.5
1,68,52,7,69
1,89,58,9,56
1,98,54,0,45.5
1,68,49,7,61.5
1,73,50,10,59.5
1,73,53,10,64.5
1,79,39,8,44
1,71,55,7,75
1,78,55,8,65
1,65,47,9,76
1,83,53,6,60
1,67,45,10,60.5
1,75,55,9,64
1,77,56,8,72
1,67,27,7,44.5
1,76,58,9,75.5
1,78,57,9,67
1,66,47,7,64
1,69,52,8,74.5
1,83,56,7,63
1,90,52,6,53
1,77,56,9,67
1,78,59,9,64.5
1,90,58,7,52
1,67,45,6,66
1,73,52,9,69
1,78,54,10,62.5
1,87,58,9,60.5
1,92,55,8,50.5
1,93,55,8,53.5
1,92,65,9,60
1,85,60,8,62
1,89,39,7,38.5
1,86,41,5,37.5
1,73,49,10,59.5
1,71,53,9,65.5
1,90,61,9,60.5
1,79,57,9,68.5
1,85,57,9,60.5
1,85,60,10,63.5
1,79,49,7,55.5
1,79,58,9,67
1,79,42,5,56
1,73,52,10,64.5
1,81,61,9,67.5
1,79,48,9,54.5
1,72,51,9,66
1,72,51,12,59.5
1,86,61,9,67.5
1,82,56,7,66
1,89,56,8,54
1,88,61,9,54.5
1,84,61,7,69
1,89,48,6,49
1,74,45,9,52.5
1,70,56,8,75
1,83,62,9,66
1,79,46,5,52.5
1,67,44,7,57.5
1,73,42,5,55.5
1,76,54,10,63.5
1,78,55,10,60
1,75,52,10,62.5
1,75,57,9,69
1,88,59,10,54
1,78,56,9,71.5
1,65,51,15,73
1,80,58,9,66
1,76,50,10,56.5
1,76,54,7,67.5
1,73,56,9,70.5
1,76,54,10,70
1,81,50,9,61.5
1,87,63,9,66
1,85,62,12,72
1,72,50,7,67
1,83,61,7,66
1,76,50,8,62
1,80,56,9,65
1,77,56,9,64
1,60,45,7,71.5
1,66,48,12,68.5
1,71,55,8,77
1,83,58,10,63.5
1,77,45,8,53.5
1,89,62,8,66
1,84,58,8,61.5
1,75,46,8,53
