Avg PM2.5,Avg Max Temp,Avg Dew Temp,Avg Wind Speed,Avg Humidity
1,67.57142857,45.85714286,9.285714286,59.57142857
1,77.28571429,43.85714286,6.571428571,55.64285714
1,89.28571429,58.85714286,8.571428571,57.78571429
1,67.85714286,44.85714286,8.571428571,63.71428571
1,77.85714286,42.28571429,6.428571429,49.5
1,65.85714286,33.14285714,7.571428571,52.64285714
1,91.14285714,62.42857143,8.857142857,60.42857143
1,74.42857143,54.42857143,8.714285714,71
1,62.28571429,44.28571429,9.142857143,67.71428571
1,77.42857143,53.85714286,8.285714286,62.35714286
1,88.14285714,50.42857143,9.285714286,52.78571429
1,71.57142857,40.14285714,7.571428571,55.14285714
1,77.71428571,54.71428571,7.714285714,61.42857143
1,80.28571429,41.14285714,10.42857143,47.64285714
1,75.14285714,58.71428571,8.571428571,73.5
1,76.85714286,36.57142857,6.857142857,42.92857143
1,62.42857143,31.28571429,7.428571429,53.21428571
1,64.85714286,48.14285714,9.857142857,70.71428571
1,66.57142857,52.85714286,9.428571429,77.64285714
1,83.28571429,62.28571429,9,66.71428571
1,71,34.85714286,8.714285714,47.78571429
1,71.57142857,43.85714286,8,58.85714286
1,84.28571429,43.14285714,9.142857143,47.07142857
1,71.57142857,49.42857143,10.85714286,62.85714286
1,75.57142857,56.71428571,7.571428571,70.57142857
1,62.85714286,41.57142857,7.571428571,64.21428571
1,77.71428571,56.71428571,9.428571429,66.35714286
1,78.28571429,52.42857143,9.714285714,60.64285714
1,79.85714286,60,7.571428571,72.07142857
1,82.57142857,44.71428571,8.571428571,49
1,81,52,8.714285714,62.14285714
1,81.14285714,58.85714286,9.428571429,70.42857143
1,84.28571429,50,8,56.35714286
0,74.42857143,38,8,47.07142857
0,73.57142857,52.42857143,8.142857143,67.42857143
0,89.71428571,63.85714286,8.571428571,66
0,74,37,6.714285714,50.64285714
0,87.85714286,36.28571429,11.85714286,36.28571429
0,72,48.14285714,8,61.21428571
0,75.57142857,40.28571429,6.714285714,51.71428571
0,73,53.85714286,9.428571429,72.14285714
0,73.28571429,38.28571429,7.857142857,51.35714286
0,76.42857143,51.42857143,9.714285714,57.85714286
0,84.57142857,40.57142857,7.714285714,43.85714286
0,68,40.28571429,8,52.92857143
0,73,47.42857143,10.57142857,57.28571429
0,70.42857143,45.28571429,10,58.42857143
0,63,48.85714286,7.428571429,76.64285714
0,78.28571429,58.14285714,8.428571429,69.57142857
0,66.57142857,38,8.857142857,58.64285714
0,75.14285714,45.14285714,11.28571429,52.57142857
0,75.57142857,46.71428571,8.142857143,59.57142857
0,91.85714286,58.71428571,7.142857143,56.21428571
0,76.71428571,47.57142857,9.428571429,57.21428571
0,77.71428571,40.57142857,8,51.85714286
0,66.85714286,33.71428571,6.428571429,51.78571429
0,93.42857143,65.57142857,9.571428571,59.21428571
0,77.14285714,56.71428571,7.857142857,69.71428571
0,78.57142857,42.85714286,8.428571429,50.57142857
0,81.85714286,57.71428571,9.571428571,63.07142857
0,90.57142857,63,8.714285714,59.35714286
0,82.14285714,60.71428571,9.428571429,68.71428571
0,69.57142857,36.57142857,6.857142857,48.07142857
0,74,29.57142857,8.714285714,43.78571429
0,63.85714286,39,6.428571429,56.5
0,73.14285714,36.71428571,6.571428571,49.5
0,71.14285714,44,7.571428571,57.92857143
0,76.71428571,47.42857143,9.571428571,59
0,76.85714286,57.28571429,9.142857143,72.71428571
0,62.42857143,29.42857143,7.714285714,47.85714286
0,65.71428571,21.85714286,7.714285714,36.07142857
0,90.28571429,60.85714286,8.571428571,57.78571429
0,91.71428571,61.42857143,9.142857143,55.35714286
0,75.57142857,51.57142857,8.857142857,60.07142857
0,91.14285714,63,8.714285714,61.92857143
0,83.85714286,57.85714286,7.571428571,61.07142857
0,86.57142857,51.42857143,8.571428571,53
0,84.28571429,58,10.42857143,61.92857143
0,71.28571429,42.42857143,9.571428571,58.35714286
0,79.71428571,57.57142857,7.428571429,68.28571429
0,67.28571429,43.57142857,10.28571429,55.92857143
0,73.14285714,37.85714286,7.714285714,51
